lat_diff,lon,tag,error,lat,type,lon_diff
0.0015193999999993935,-79.3649690,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6218806,node,0.08346900000000801
0.0013635999999976889,-79.3646357,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6220364,node,0.0831356999999997
0.001228099999998733,-79.3643676,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6221719,node,0.08286760000000015
0.000977899999995202,-79.3642454,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6224221,node,0.08274540000000741
0.0007199999999940587,-79.3641121,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6226800,node,0.08261210000000574
0.0006112999999956514,-79.3640621,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6227887,node,0.08256210000000408
0.00018759999999673482,-79.3632068,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6232124,node,0.0817068000000063
0.0008136999999948102,-79.3617455,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6225863,node,0.08024550000000374
0.002608199999997396,-79.3642877,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6207918,node,0.08278770000001145
0.0043470999999968285,-79.3668632,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6190529,node,0.0853632000000033
0.006259799999995153,-79.3706983,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6171402,node,0.08919830000000672
0.006390299999999627,-79.3712075,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6170097,node,0.08970750000000294
0.007055999999998619,-79.3726373,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6163440,node,0.09113729999999975
0.008431999999999107,-79.3752320,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6149680,node,0.09373200000000281
0.008591799999997818,-79.3754331,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6148082,node,0.09393310000000099
0.008922899999994627,-79.3768278,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6144771,node,0.09532780000000685
0.009912499999998658,-79.3803163,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6134875,node,0.09881630000000996
0.01144669999999337,-79.3886696,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6119533,node,0.10716960000000597
0.011376899999994805,-79.3891145,"[{'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6120231,node,0.10761450000001105
0.04257949999999511,-79.5434701,[],Coordinates out of range,43.5808205,node,0.024629900000007865
0.04222970000000004,-79.5432878,[],Coordinates out of range,43.5811703,node,0.024812199999999507
0.04180229999999341,-79.5432127,[],Coordinates out of range,43.5815977,node,0.024887300000003165
0.041324599999995826,-79.5429909,[],Coordinates out of range,43.5820754,node,0.025109099999994555
0.03979559999999793,-79.5421789,[],Coordinates out of range,43.5836044,node,0.025921100000005026
0.03922659999999922,-79.5418023,[],Coordinates out of range,43.5841734,node,0.026297700000000646
0.038919499999998663,-79.5415079,[],Coordinates out of range,43.5844805,node,0.026592100000002006
0.03856649999999462,-79.5411166,[],Coordinates out of range,43.5848335,node,0.026983400000005986
0.03405499999999506,-79.5280877,[],Coordinates out of range,43.5893450,node,0.04001230000000078
0.03248839999999831,-79.5105697,[],Coordinates out of range,43.5909116,node,0.05753029999999626
0.000317199999997797,-79.4694056,[],Coordinates out of range,43.6230828,node,0.0986943999999994
0.04332469999999944,-79.2431955,[],Coordinates out of range,43.7017753,node,0.0383044999999953
0.005467400000000566,-79.3748588,"[{'k': 'highway', 'v': 'traffic_signals'}]",Coordinates out of range,43.7505674,node,0.0933588000000043
0.0045898999999991474,-79.4552812,"[{'k': 'created_by', 'v': 'JOSM'}]",Coordinates out of range,43.7496899,node,0.11281879999999944
